ID,arrival_time,length,cpus,length_class,resource_class,carbon_cost,dollar_cost,start_time,waiting_time,exit_time,reason
0,0,3600,1,0-2,1,0.09614000000000002,0.0624,0,0,3600,completed
1,68,1000,1,0-2,1,0.02670555555555556,0.017333333333333333,68,0,1068,completed
2,463,1570,3,0-2,3-4,0.12578316666666664,0.08163999999999999,463,0,2033,completed
3,838,2762,1,6-12,1,0.07376074444444444,0.04787466666666666,838,0,3600,completed
4,1986,666,1,0-2,1,0.0177859,0.011543999999999999,1986,0,2652,completed
6,2619,628,2,0-2,2,0.03354217777777777,0.021770666666666664,2619,0,3247,completed
5,2619,628,2,0-2,2,0.03354217777777777,0.021770666666666664,2619,0,3247,completed
7,2939,4261,1,12-24,1,0.11678237222222224,0.07385733333333333,2939,0,7200,completed
8,3009,4191,1,12-24,1,0.11491298333333334,0.072644,3009,0,7200,completed
9,4052,3148,3,6-12,3-4,0.26005103333333335,0.16369599999999998,4052,0,7200,completed
10,4791,1750,2,0-2,2,0.09637638888888891,0.06066666666666666,4791,0,6541,completed
11,5796,1404,1,0-2,1,0.0386607,0.024336,5796,0,7200,completed
12,6422,778,1,6-12,1,0.021423094444444447,0.013485333333333332,6422,0,7200,completed
13,6947,3853,2,2-6,2,0.21867327222222216,0.13357066666666667,6947,0,10800,completed
14,7578,2040,1,0-2,1,0.058009666666666654,0.035359999999999996,7578,0,9618,completed
15,8628,1112,1,0-2,1,0.03162095555555555,0.019274666666666666,8628,0,9740,completed
16,8628,1112,1,0-2,1,0.03162095555555555,0.019274666666666666,8628,0,9740,completed
17,9988,812,1,2-6,1,0.023090122222222214,0.014074666666666666,9988,0,10800,completed
18,10481,418,1,0-2,1,0.011906644444444442,0.007245333333333333,10481,0,10899,completed
19,11269,2474,1,0-2,1,0.07085948333333332,0.042882666666666666,11269,0,13743,completed
20,11498,562,1,0-2,1,0.016096616666666664,0.009741333333333333,11498,0,12060,completed
21,12778,1622,1,6-12,1,0.046456783333333335,0.028114666666666666,12778,0,14400,completed
22,13300,489,1,0-2,1,0.014005775000000002,0.008476,13300,0,13789,completed
33,21343,306,1,0-2,1,0.00924466388888889,0.005304,21343,0,21649,completed
23,14435,916,4,0-2,3-4,0.10514662222222224,0.06350933333333333,21600,7165,22516,completed
24,15275,327,1,0-2,1,0.009383991666666668,0.005667999999999999,21600,6325,21927,completed
25,15673,25200,2,48+,2,1.0204,0.8735999999999999,21600,5927,46800,completed
